[200~w	PL(all)
0.001	0.0000000520
0.012684474	0.0000006619
0.024368948	0.0000012718
0.036053422	0.0000018825
0.047737896	0.0000024944
0.059422371	0.0000031076
0.071106845	0.0000037224
0.082791319	0.0000043395
0.094475793	0.0000049589
0.106160267	0.0000055811
0.117844741	0.0000062066
0.129529215	0.0000068355
0.141213689	0.0000074684
0.152898164	0.0000081057
0.164582638	0.0000087476
0.176267112	0.0000093945
0.187951586	0.0000100469
0.19963606	0.0000107053
0.211320534	0.0000113699
0.223005008	0.0000120415
0.234689482	0.0000127203
0.246373957	0.0000134068
0.258058431	0.0000141015
0.269742905	0.0000148050
0.281427379	0.0000155177
0.293111853	0.0000162402
0.304796327	0.0000169732
0.316480801	0.0000177169
0.328165275	0.0000184722
0.33984975	0.0000192399
0.351534224	0.0000200205
0.363218698	0.0000208146
0.374903172	0.0000216232
0.386587646	0.0000224466
0.39827212	0.0000232865
0.409956594	0.0000241427
0.421641068	0.0000250167
0.433325543	0.0000259094
0.445010017	0.0000268216
0.456694491	0.0000277547
0.468378965	0.0000287095
0.480063439	0.0000296876
0.491747913	0.0000306897
0.503432387	0.0000317176
0.515116861	0.0000327725
0.526801336	0.0000338561
0.53848581	0.0000349697
0.550170284	0.0000361155
0.561854758	0.0000372949
0.573539232	0.0000385103
0.585223706	0.0000397634
0.59690818	0.0000410570
0.608592654	0.0000423931
0.620277129	0.0000437745
0.631961603	0.0000452043
0.643646077	0.0000466852
0.655330551	0.0000482209
0.667015025	0.0000498150
0.678699499	0.0000514712
0.690383973	0.0000531940
0.702068447	0.0000549882
0.713752922	0.0000568585
0.725437396	0.0000588110
0.73712187	0.0000608515
0.748806344	0.0000629868
0.760490818	0.0000652246
0.772175292	0.0000675729
0.783859766	0.0000700407
0.79554424	0.0000726379
0.807228715	0.0000753762
0.818913189	0.0000782679
0.830597663	0.0000813267
0.842282137	0.0000845684
0.853966611	0.0000880103
0.865651085	0.0000916725
0.877335559	0.0000955772
0.889020033	0.0000997498
0.900704508	0.0001042192
0.912388982	0.0001090187
0.924073456	0.0001141857
0.93575793	0.0001197642
0.947442404	0.0001258044
0.959126878	0.0001323651
0.970811352	0.0001395149
0.982495826	0.0001473350
0.994180301	0.0001559187
1.005864775	0.0001653796
1.017549249	0.0001758514
1.029233723	0.0001874961
1.040918197	0.0002005081
1.052602671	0.0002151255
1.064287145	0.0002316375
1.075971619	0.0002504087
1.087656093	0.0002718855
1.099340568	0.0002966349
1.111025042	0.0003253782
1.122709516	0.0003590423
1.13439399	0.0003988311
